#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

fierymetal                                        (twilightforest:molten_fierymetal)                                               = Molten Fiery
knightmetal                                       (twilightforest:molten_knightmetal)                                              = Molten Knightmetal
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
moltenabyssalnite                                 (acintegration:moltenabyssalnite)                                                = Molten Abyssalnite
moltenrefinedcoralium                             (acintegration:moltencoralium)                                                   = Molten Refined Coralium
moltendreadium                                    (acintegration:moltendreadium)                                                   = Molten Dreadium
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
dragonsteel_fire                                  (tconstruct:molten_dragonsteel_fire)                                             = Molten Fire Dragonsteel
dragonsteel_ice                                   (tconstruct:molten_dragonsteel_ice)                                              = Molten Ice Dragonsteel
boron                                             (nuclearcraft:fluid_boron)                                                       = Molten Boron
tough                                             (nuclearcraft:fluid_tough)                                                       = Molten Tough Alloy
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = Molten Hard Carbon
thorium                                           (tconstruct:molten_thorium)                                                      = Molten Thorium
uranium                                           (immersiveengineering:molten_uranium)                                            = Molten Uranium
magnesium                                         (tconstruct:molten_magnesium)                                                    = Molten Magnesium
milk_chocolate                                    (nuclearcraft:fluid_milk_chocolate)                                              = Molten Milk Chocolate
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
invar                                             (tconstruct:molten_invar)                                                        = Molten Invar
iridium                                           (tconstruct:molten_iridium)                                                      = Molten Iridium
titanium                                          (plustic:plustic.molten_titanium)                                                = Molten Titanium
lumium                                            (tconstruct:molten_lumium)                                                       = Molten Lumium
signalum                                          (tconstruct:molten_signalum)                                                     = Molten Signalum
platinum                                          (tconstruct:molten_platinum)                                                     = Molten Platinum
enderium                                          (tconstruct:molten_enderium)                                                     = Molten Enderium
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
