+---------------------------------------+---------+-------------+-----------+------------+----------+-----------+-------------------------------------------------+
| Name                                  | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                           |
+---------------------------------------+---------+-------------+-----------+------------+----------+-----------+-------------------------------------------------+
| acid                                  |     100 |         300 |      1000 |          0 | COMMON   |     false | stupidthings:acid                               |
| aerotheum                             |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum               |
| alubrass                              |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_alubrass                      |
| alugentum                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_alugentum                    |
| alumina                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_alumina                      |
| aluminum                              |    2000 |         330 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_aluminum                      |
| alumite                               |    2000 |         890 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_alumite                  |
| americium_241                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| americium_241_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| americium_241_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| americium_242                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| americium_242_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| americium_242_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| americium_243                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| americium_243_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| americium_243_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| ammonia                               |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_ammonia                      |
| anti_venom                            |    1000 |         300 |      2000 |          0 | COMMON   |     false | -                                               |
| apple_juice                           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| ardite                                |    2000 |         860 |     10000 |         10 | RARE     |     false | tconstruct:molten_ardite                        |
| arsenic                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_arsenic                      |
| bas                                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_bas                          |
| beetle_juice                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| beetroot_juice                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| beetroot_soup                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| bef2                                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_bef2                         |
| berkelium_247                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| berkelium_247_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| berkelium_247_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| berkelium_248                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| berkelium_248_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| berkelium_248_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| beryllium                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_beryllium                    |
| betterquesting.placeholder            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| biocrude                              |    1500 |         300 |      2500 |          0 | COMMON   |     false | -                                               |
| biodiesel                             |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidbiodiesel             |
| blood                                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:blood                             |
| blueslime                             |    1500 |         310 |      1500 |          0 | COMMON   |     false | tconstruct:blueslime                            |
